name,_id,run_start_time,run_end_time,status,status_message,chg_sp,chiller_limit,chiller_resize_factor,loop_sp,storage_capacity,installed_cost_us_dollars_per_kw,installed_cost_us_dollars_per_kwh,electricity_kwh,size_kw,size_kwh,comfort_result_time_setpoint_not_met_during_occupied_heating,year_one_bill_us_dollars,water_qbft,electricity_produced_kwh,natural_gas_kwh,comfort_result_time_setpoint_not_met_during_occupied_cooling,year_one_energy_cost_us_dollars,comfort_result_time_setpoint_not_met_during_occupied_hours,comfort_result_hours_out_of_comfort_bounds_PMV
API Generated 2021-05-30 09:24:11 +0000,c6e27ac1-c183-4286-8e8a-289f19ffecbf,2021-05-30T09:39:52.620Z,2021-05-30T09:54:55.903Z,completed,completed normal,27.50407309,0.163693456,3.859249954,41.8695069,1897.353884,1014.098163,305.5721469,24603122.22,900.1100745,1897.090132,766,3815958.66,137355.38,24603120.56,26242036.11,1318,2899121.71,2084,1339
API Generated 2021-05-30 09:24:11 +0000,c1f44b84-64bb-4f5c-bb5c-e846da7264ca,2021-05-30T10:22:49.030Z,2021-05-30T10:36:55.476Z,completed,completed normal,26.65408615,0.717458365,3.163625675,41.70451928,6242.357931,675.5387661,283.5090646,23087630.56,1746.944368,2303.644966,767,3495714.54,132052.15,23087632.5,26231458.33,1320,2729004.86,2087,1337
API Generated 2021-05-30 05:32:57 +0000,4ca07d5f-1c4a-4d63-80c5-b5609a045157,2021-05-30T06:03:06.302Z,2021-05-30T06:17:23.938Z,completed,completed normal,22.97811438,0.411927078,1.71646704,41.66414291,1696.245535,1022.449235,382.8814519,21531083.33,253.0461021,565.6995985,764,3270002.4,130568.61,21531083.33,26232725,1321,2565306.78,2085,1339
API Generated 2021-05-30 01:38:05 +0000,cb2a1cf3-d8ad-4507-bc64-24423b3a5cac,2021-05-30T01:54:31.212Z,2021-05-30T02:09:42.293Z,completed,completed normal,21.27043164,0.737796009,1.479530168,47.05417377,2305.443186,1017.527715,677.3053233,21702833.33,169.6592648,223.724761,765,3245164.4,131851.25,21702833.61,26192819.44,1365,2556481.93,2130,1341
API Generated 2021-05-30 09:40:00 +0000,e0006afb-257e-427b-973e-2ec8dca744bf,2021-05-30T10:25:02.560Z,2021-05-30T10:39:47.859Z,completed,completed normal,21.6397851,0.155951475,1.224190655,49.67914418,3032.556949,764.1194809,282.9634469,21016516.67,666.1241249,2657.75673,764,2948918.11,129421.41,21016514.44,26202730.56,1368,2373619.97,2132,1336
API Generated 2021-05-30 01:38:05 +0000,3b7659d6-33b8-4381-ad12-925584ad50ac,2021-05-30T02:22:49.961Z,2021-05-30T02:37:19.883Z,completed,completed normal,24.04977989,0.682597691,1.213259947,48.88215989,6915.145945,425.1568225,769.8009719,20936486.11,346.2716299,534.4685558,763,3075100.16,128515.96,20936486.94,26192386.11,1366,2429391.93,2129,1335
API Generated 2021-05-30 02:57:05 +0000,6eb2109c-634e-436a-8648-692593145b2a,2021-05-30T02:57:08.457Z,2021-05-30T03:13:11.861Z,completed,completed normal,26.34609631,0.111835828,0.88963866,44.19430548,4184.693215,850.1304235,717.2158281,19595766.67,199.2274171,324.5272059,763,2986842.95,120344.69,19595768.61,26211491.67,1598,2325204.61,2361,1781
API Generated 2021-05-30 02:57:06 +0000,f92c2a19-cc76-4537-8265-343036024417,2021-05-30T03:30:14.022Z,2021-05-30T03:46:31.328Z,completed,completed normal,27.6599779,0.436154219,0.170416822,40.19197011,5202.698388,1244.785073,287.5434443,18302855.56,234.3589416,550.625055,763,2689110.54,118327.98,18302857.22,26165586.11,1922,2130692.13,2685,2441
API Generated 2021-05-30 01:38:05 +0000,e762a152-17d1-4ab8-97cd-9a64e3095e6d,2021-05-30T01:38:09.007Z,2021-05-30T01:54:31.071Z,completed,completed normal,27.01363271,0.699150819,3.749105881,42.56921471,3304.922598,1619.287704,467.541333,24221263.89,428.7586457,565.3916139,765,3948724.32,136128.03,24221265.56,26237538.89,1339,2951151.72,2104,1340
API Generated 2021-05-30 04:14:46 +0000,660244ec-6580-4a5c-80b6-48b7dad88ad9,2021-05-30T04:31:36.495Z,2021-05-30T04:47:02.988Z,completed,completed normal,27.17568904,0.918847515,3.825843888,49.29875097,4295.973725,1140.321057,591.4465072,25730538.89,305.2320405,402.5006557,766,3997775.03,142536.04,25730540.83,26197608.33,1367,3067123.97,2133,1346
API Generated 2021-05-30 06:50:13 +0000,50adb789-d0d3-4952-b32b-f43aaa8f8daa,2021-05-30T07:37:15.756Z,2021-05-30T07:52:49.726Z,completed,completed normal,27.1030448,0.696061663,0.460956296,42.12384569,1023.753329,1313.839631,827.257118,18716652.78,112.0222071,147.7204416,766,2805141.31,121195.86,18716653.61,26237952.78,1332,2197290.77,2098,1342
API Generated 2021-05-30 08:07:20 +0000,2993f3c6-b780-48de-a0ce-262522ff5b78,2021-05-30T08:53:41.829Z,2021-05-30T09:08:29.822Z,completed,completed normal,26.89561666,0.609476987,2.42382357,44.57909216,6625.10262,652.3539567,766.4722317,21926466.67,851.8482683,1123.307651,763,3349271.32,128114.17,21926468.33,26217244.44,1346,2603760.65,2109,1342
API Generated 2021-05-30 02:57:05 +0000,f1376ce0-9ac9-4a13-8539-5dfcc20b11bc,2021-05-30T03:13:12.021Z,2021-05-30T03:28:02.427Z,completed,completed normal,27.11932628,0.845992063,1.572921405,42.67911169,7259.937644,1344.126567,808.0123688,20566247.22,72.61940226,95.7611035,763,3174186.24,123245.77,20566248.89,26233947.22,1306,2473425.58,2069,1338
API Generated 2021-05-30 06:50:13 +0000,8ec7f3ab-a9a8-45b3-88e1-1aa4d14c132a,2021-05-30T06:50:16.279Z,2021-05-30T07:06:30.943Z,completed,completed normal,27.01363271,0.461733758,2.213737325,42.9375425,3123.192714,1313.764707,633.3471369,21961013.89,131.8541132,173.872202,763,3448666.38,129600.15,21961015.56,26236686.11,1317,2629739.76,2080,1334
