name,_id,run_start_time,run_end_time,status,status_message,chg_sp,chiller_limit,loop_sp,storage_capacity,year_one_energy_supplied_kw,year_one_energy_supplied_kwh,water_qbft,distributed_generation_total_solar_pv_kw,electricity_kwh,year_one_energy_cost_us_dollars,comfort_result_time_setpoint_not_met_during_occupied_cooling,comfort_result_hours_out_of_comfort_bounds_PMV,year_one_demand_cost_us_dollars,size_kw,year_one_energy_supplied_kwh,electricity_produced_kwh,natural_gas_kwh,year_one_bill_us_dollars,size_kwh
API Generated 2021-06-16 10:30:33 +0000,dd69d175-442d-4306-893b-b901d5fa45b3,2021-06-16T11:16:28.173Z,2021-06-16T11:31:13.640Z,completed,completed normal,20.09155859,0.243391876,44.81573184,16431.78004,465.0792856,470.2579383,121773,2134.6314,19735633.33,1808359.12,1329,1339,898547.92,1214.175075,17460991.1,19735633.61,26201602.78,2714107.04,7752.506359
API Generated 2021-06-16 04:34:43 +0000,2ef9836a-ee1c-4308-9730-9608f0f50b5b,2021-06-16T05:20:05.692Z,2021-06-16T05:34:14.466Z,completed,completed normal,27.27552548,0.570116013,41.31616712,36304.79056,1641.447306,804.1895865,119028.62,1581.8613,19461502.78,1863362.32,1353,1342,1127108.25,494.1648151,17514833.52,19461502.78,26243652.78,2997670.57,1821.317788
API Generated 2021-06-16 02:23:50 +0000,d6ab8ffc-ec7e-4c30-bea2-4bdd3779838a,2021-06-16T02:23:54.531Z,2021-06-16T02:40:12.780Z,completed,completed normal,21.75002328,0.372614203,48.56051428,33205.87775,552.0272929,361.9959152,127263.48,3662.7422,20434863.89,1741508.14,1351,1345,922553.86,1476.513135,16844434.33,20434866.11,26197794.44,2671262,9865.539478
API Generated 2021-06-16 14:57:38 +0000,a7ae572f-2cd1-4068-8389-d6e57858c958,2021-06-16T15:44:45.920Z,2021-06-16T16:00:00.353Z,completed,completed normal,20.20083965,0.209755296,47.21966924,28991.03695,1671.509458,824.9233251,127437.81,1581.8613,20471713.89,2011112.51,1349,1338,1300615.14,349.2826621,18500950.03,20471714.44,26206375,3318927.66,1019.847486
API Generated 2021-06-16 16:35:53 +0000,dacb5bb9-5713-4e15-af87-bcc78731bbb7,2021-06-16T16:35:57.290Z,2021-06-16T16:53:33.569Z,completed,completed normal,20.11928999,0.108666567,48.61387844,6008.151591,842.8457954,515.2633592,127550.77,3636.7006,20463030.56,1765334.23,1373,1339,1009499.3,1160.23812,16826816.94,20463031.39,26183666.67,2782033.54,6421.415075
API Generated 2021-06-16 16:52:42 +0000,199bb4a3-e0ff-4b12-9afb-f17f0202bb54,2021-06-16T17:42:33.287Z,2021-06-16T17:56:43.729Z,completed,completed normal,28.94960996,0.993877718,41.17448505,29488.6775,1663.495525,834.3572932,119843.8,1581.8613,19685077.78,1892151.56,1321,1335,1173072.52,451.8697038,17732769.01,19685078.33,26242500,3072424.09,1643.504107
API Generated 2021-06-16 04:04:10 +0000,07ce227a-3830-4c58-ad9c-fc3af12851db,2021-06-16T04:51:07.034Z,2021-06-16T05:06:26.897Z,completed,completed normal,27.34424858,0.983241815,49.78462587,30328.07331,1672.144957,830.4496963,125310.95,1581.8613,20249900,1990683.23,1376,1341,1308726.87,370.892218,18278850.89,20249901.39,26190022.22,3306610.1,1009.555088
API Generated 2021-06-16 07:08:56 +0000,ebd9e362-abc8-4c10-8d38-3461bac45568,2021-06-16T07:25:21.988Z,2021-06-16T07:41:02.692Z,completed,completed normal,23.9490812,0.665564571,49.82071319,18921.71854,1279.215685,831.5952429,126674.91,1623.3227,20375808.33,1994535.09,1383,1338,1272271.4,466.0284488,18382077.13,20375810.56,26193825,3274006.49,1579.45781
API Generated 2021-06-16 10:14:08 +0000,3a45a89e-a1f6-48cf-85a6-8651650fc430,2021-06-16T11:01:26.289Z,2021-06-16T11:16:31.942Z,completed,completed normal,24.20381375,0.948908718,46.61404688,37530.57594,656.7748271,233.0603442,125275.1,2939.9184,20032130.56,1763769.58,1351,1341,918069.9,1360.501986,17084594.93,20032130.83,26200644.44,2689039.48,10764.32751
API Generated 2021-06-16 04:04:10 +0000,d1cbba1a-0f06-4e6f-bcf6-81ca28d1d112,2021-06-16T04:36:15.906Z,2021-06-16T04:51:29.239Z,completed,completed normal,26.40327042,0.17786711,41.56271664,33975.78678,598.1376122,270.0528962,119183.48,2041.9072,19492608.33,1772841.96,1334,1341,844307.44,1468.192464,17331395.79,19492608.61,26238016.67,2624349.41,10351.39239
API Generated 2021-06-16 12:18:35 +0000,1fe16d07-67f6-4cfb-abb4-ab71787e0c1b,2021-06-16T13:04:17.972Z,2021-06-16T13:19:02.287Z,completed,completed normal,26.85519785,0.976112336,41.40550877,35292.31901,1655.181613,786.765407,119003.45,1581.8613,19446783.33,1862098.45,1331,1341,1130290.73,498.5773671,17500126.98,19446782.5,26242661.11,2999589.17,1819.314047
API Generated 2021-06-16 08:41:04 +0000,7493a685-2fdf-4fd1-beee-793c39883962,2021-06-16T08:57:40.170Z,2021-06-16T09:13:44.211Z,completed,completed normal,20.208548,0.730267487,49.59105442,10409.24058,424.0223727,509.795414,127473.79,4090.7183,20450541.67,1712119.05,1380,1343,956963.61,1283.622491,16445161.04,20450542.78,26198252.78,2676282.67,7472.020944
API Generated 2021-06-16 15:13:38 +0000,303a1491-fa6a-469c-9fb4-1c3a4b489cf2,2021-06-16T15:59:27.622Z,2021-06-16T16:14:30.693Z,completed,completed normal,26.3759615,0.345129914,41.87728673,37265.02201,741.9798661,206.9311784,119244.91,1783.0181,19493491.67,1793287.8,1308,1340,838714.06,1534.075936,17572807.83,19493490.56,26224972.22,2639201.86,11449.28079
API Generated 2021-06-16 11:46:36 +0000,eaa3264b-2e84-4a2f-accf-5a49956dfaba,2021-06-16T11:46:39.282Z,2021-06-16T12:02:34.028Z,completed,completed normal,27.83393792,0.981352304,41.5014344,29488.6775,1661.469285,802.378092,118841.34,1581.8613,19487469.44,1866235.48,1322,1339,1144039.75,491.6539077,17540046.17,19487471.39,26255211.11,3017475.24,1802.390944
API Generated 2021-06-16 07:08:56 +0000,cabbcd38-37e5-4dcf-af57-8c317c3cab40,2021-06-16T07:41:02.902Z,2021-06-16T07:56:13.308Z,completed,completed normal,27.50564563,0.994087504,49.90862889,38774.97124,1463.487905,837.2155751,125222.8,1581.8613,20247902.78,1988661.17,1386,1337,1292089.52,423.5153964,18283833.32,20247903.89,26188644.44,3287950.69,1290.293905
